Rank,ASN,AS Name,CC,Users (est.),% of country,% of Internet,Samples
1,"AS55836","RELIANCEJIO-IN Reliance Jio Infocomm Limited","<a href=\"/cgi-bin/aspop?c=IN\">IN</a>",280641748,48.39,6.7925,34342468
2,"AS4134","CHINANET-BACKBONE No.31,Jin-rong Street","<a href=\"/cgi-bin/aspop?c=CN\">CN</a>",266250984,32.37,6.4442,2476842
3,"AS4837","CHINA169-BACKBONE CHINA UNICOM China169 Backbone","<a href=\"/cgi-bin/aspop?c=CN\">CN</a>",159249529,19.36,3.8544,1481444
4,"AS45609","BHARTI-MOBILITY-AS-AP Bharti Airtel Ltd. AS for GPRS Service","<a href=\"/cgi-bin/aspop?c=IN\">IN</a>",152908051,26.37,3.7009,18711542
5,"AS9808","CMNET-GD Guangdong Mobile Communication Co.Ltd.","<a href=\"/cgi-bin/aspop?c=CN\">CN</a>",89068194,10.83,2.1558,828571
6,"AS197207","MCCI-AS","<a href=\"/cgi-bin/aspop?c=IR\">IR</a>",57866170,94.60,1.4006,452656
7,"AS7922","COMCAST-7922","<a href=\"/cgi-bin/aspop?c=US\">US</a>",46632169,18.65,1.1287,7852519
8,"AS4812","CHINANET-SH-AP China Telecom (Group)","<a href=\"/cgi-bin/aspop?c=CN\">CN</a>",45455822,5.53,1.1002,422860
9,"AS4808","CHINA169-BJ China Unicom Beijing Province Network","<a href=\"/cgi-bin/aspop?c=CN\">CN</a>",38363871,4.66,0.9285,356886
10,"AS38266","VODAFONE-IN Vodafone India Ltd.","<a href=\"/cgi-bin/aspop?c=IN\">IN</a>",37004760,6.38,0.8956,4528317
11,"AS7713","TELKOMNET-AS-AP PT Telekomunikasi Indonesia","<a href=\"/cgi-bin/aspop?c=ID\">ID</a>",36414537,31.83,0.8814,8691201
12,"AS8151","Uninet S.A. de C.V.","<a href=\"/cgi-bin/aspop?c=MX\">MX</a>",35656033,39.52,0.8630,4757035
13,"AS8452","TE-AS TE-AS","<a href=\"/cgi-bin/aspop?c=EG\">EG</a>",35263706,67.39,0.8535,6905799
14,"AS29465","VCG-AS","<a href=\"/cgi-bin/aspop?c=NG\">NG</a>",31918275,50.60,0.7725,2003865
15,"AS45271","ICLNET-AS-AP Idea Cellular Limited","<a href=\"/cgi-bin/aspop?c=IN\">IN</a>",30391774,5.24,0.7356,3719078
16,"AS56040","CMNET-GUANGDONG-AP China Mobile communications corporation","<a href=\"/cgi-bin/aspop?c=CN\">CN</a>",27810329,3.38,0.6731,258710
17,"AS24757","EthioNet-AS","<a href=\"/cgi-bin/aspop?c=ET\">ET</a>",26443932,99.99,0.6400,235230
18,"AS9299","IPG-AS-AP Philippine Long Distance Telephone Company","<a href=\"/cgi-bin/aspop?c=PH\">PH</a>",24635810,33.94,0.5963,2651988
19,"AS2516","KDDI KDDI CORPORATION","<a href=\"/cgi-bin/aspop?c=JP\">JP</a>",23864800,21.08,0.5776,1967281
20,"AS23693","TELKOMSEL-ASN-ID PT. Telekomunikasi Selular","<a href=\"/cgi-bin/aspop?c=ID\">ID</a>",23723625,20.73,0.5742,5662211
21,"AS3320","DTAG Internet service provider operations","<a href=\"/cgi-bin/aspop?c=DE\">DE</a>",23440911,33.15,0.5673,1871382
22,"AS56046","CMNET-JIANGSU-AP China Mobile communications corporation","<a href=\"/cgi-bin/aspop?c=CN\">CN</a>",22065735,2.68,0.5341,205270
23,"AS7018","ATT-INTERNET4","<a href=\"/cgi-bin/aspop?c=US\">US</a>",21921514,8.77,0.5306,3691424
